2025-05-08 13:52:24.313246  |  Deposit  |  1002  |  10002  |  200.0
2025-05-08 13:52:54.105897  |  Deposit  |  1002  |  10002  |  300.02025-05-09 19:51:50.986629  |  Withdraw  |  1001  |  10001  |  10000.0
2025-05-09 19:54:20.729192  |  Deposit  |  1001  |  10001  |  10000.0
2025-05-09 20:46:30.382251  |  Deposit  |  1003  |  10003  |  1000.0
2025-05-09 20:47:58.143881  |  Deposit  |  1003  |  10003  |  300.0
2025-05-09 20:48:59.014875  |  Withdraw  |  1003  |  10003  |  1300.0
2025-05-09 21:16:58.343756  |  Deposit  |  1001  |  10001  |  20000.0
2025-05-09 21:17:44.872994  |  Withdraw  |  1001  |  10001  |  15000.0
2025-05-09 21:20:23.778433  |  Withdraw  |  1001  |  10001  |  2000.0
2025-05-09 21:51:34.251335  |  Deposit  |  1001  |  10001  |  200.0
2025-05-09 21:52:00.866767  |  Withdraw  |  1001  |  10001  |  3200.0
